,yield
2,160.0
73,41.3
97,40.44
62,46.1
19,45.5
35,26.1
94,35.26
27,81.0
46,42.0
38,63.4
67,35.6
99,41.92
54,74.85
95,36.49
88,38.22
40,65.6
48,33.7
59,50.4
23,31.0
34,26.8
86,32.06
53,46.98
77,74.86
15,74.6
83,89.68
41,64.5
45,33.0
91,29.59
26,36.4
98,42.66
43,30.0
55,80.1
24,26.7
4,39.8
58,45.03
49,37.18
21,20.5
87,33.66
3,175.0
74,39.1
30,150.0
66,30.1
70,57.2
42,18.6
47,31.9
89,34.89
8,44.2
60,50.01
0,134.8
90,38.71
57,41.83
22,41.9
61,52.74
63,39.84
7,48.8
96,34.4
13,92.1
68,37.0
85,96.72
14,83.7
29,55.1
28,55.3
11,86.2
18,50.2
20,22.8
50,34.39
25,33.6
6,51.8
71,38.5
76,49.77
1,140.3
16,70.5
64,44.94
79,89.1
5,49.0
75,44.94
9,46.1
72,40.2
12,89.2
37,63.9
